Year;Airline;Code;Al Code ICAO;Country;Country Code OAG;Country Code IATA;IATA Regions;Passengers Carried;Kilometres Flown;Aircraft Departures;Hours Flown;Passenger-Kilometres Flown;Available Seat-Kilometres;Tonne-Kilometres Performed;Passenger Load Factor;Period Fin;Currency;Operating Revenue;Operating Revenue Pax;Operating Expenses;Operating Profit;Net Result;Employees;Traf. Source;Fin Source;Pers. Source;Year End;Remarques
2006;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;8632000;78000;62400;133300;13059900;17222700;1351100;76;12;USD;1430500;1280000;1389600;40900;-88000;3556;Al Monitor 10/07;Al Monitor 10/07;IATA;31.12;NA
2007;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9305000;89000;67200;150200;14804000;19629000;1490000;75.4;12;USD;1768000;1546000;1646000;122000;145000;3617;Al Monitor 10/08;Al Monitor 10/08;Internet 10/08;31.12;NA
2008;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;10001000;102000;74300;171600;16274000;22365000;1626000;72.8;12;USD;1994000;1692000;2020000;-26000;-157400;4035;Al Monitor 10/15;Al Monitor 10/15/;Internet 10/09;31.12;NA
2009;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;10382000;100000;75400;167700;15817000;21224000;1548000;74.5;12;USD;1727400;1382000;1843500;-116100;-186400;3844;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9346000;87000;68500;149800;13892000;18266000;1399000;76.1;12;USD;1605000;1321000;1536000;69000;57000;3516;Al Monitor 10/12;Al Monitor 10/12;Internet 11/11;31.12;NA
2011;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9514000;90000;70500;154829;14048000;18589000;1466000;75.6;12;USD;1801000;1493000;1732000;69000;100000;3491;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;NA
2012;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9653000;91000;71600;154400;14520000;18682000;1514000;77.7;12;USD;1797000;1490000;1708000;89000;44000;3566;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9625000;91000;71400;156500;14804000;18894000;1393000;78.4;12;USD;1895000;1556000;1814000;81000;45000;4000;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;9766000;99000;71600;165200;16085000;20368000;1674000;79;12;USD;2052000;1728000;1957000;95000;NA;4000;Al Monitor 10/16;Al Monitor 10/16;Internet 09/15;31.12;NA
2015;AER LINGUS;EI;EIN;IRISH REPUBLIC;441;IRLD;Europe;10149000;104000;72000;173200;17528000;21471000;1826000;81.6;12;USD;1895000;1795000;1758000;137000;NA;4000;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;7233000;209000;80200;268600;22208000;31655000;2831000;70.2;12;USD;2628000;2210000;2380500;247500;256500;14717;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2007;AEROFLOT RUSSIAN AL;SU;AFL;RUSSIAN FEDERATION;475;RUSF;Europe;8129000;221000;87000;284700;24564000;34958000;2681000;70;12;USD;3025000;2364000;2722000;303000;238000;15303;Al Monitor 10/08;Al Monitor 10/08;IATA;31.12;NA
